"ct_numero";"uo_libelle"
"64422";"GLOBAL TRANSPORT ET MINE"
"64488";"GLOBAL TRANSPORT ET MINE"
"64493";"GLOBAL TRANSPORT ET MINE"
"64516";"GLOBAL TRANSPORT ET MINE"
"64584";"GLOBAL TRANSPORT ET MINE"
"64585";"GLOBAL TRANSPORT ET MINE"
"69124";"GLOBAL TRANSPORT ET MINE"
"69201";"GLOBAL TRANSPORT ET MINE"
"69372";"GLOBAL TRANSPORT ET MINE"
"69373";"GLOBAL TRANSPORT ET MINE"
"69374";"GLOBAL TRANSPORT ET MINE"
"69501";"GLOBAL TRANSPORT ET MINE"
"69542";"GLOBAL TRANSPORT ET MINE"
"69543";"GLOBAL TRANSPORT ET MINE"
"69552";"GLOBAL TRANSPORT ET MINE"
"69688";"GLOBAL TRANSPORT ET MINE"
"69763";"GLOBAL TRANSPORT ET MINE"
"64575";"GLOBAL TRANSPORT ET MINE"
"88239";"GLOBAL TRANSPORT ET MINE"
"88240";"GLOBAL TRANSPORT ET MINE"
"88218";"GLOBAL TRANSPORT ET MINE"
"88220";"GLOBAL TRANSPORT ET MINE"
"90909";"GLOBAL TRANSPORT ET MINE"
"92096";"GLOBAL TRANSPORT ET MINE"
"90534";"GLOBAL TRANSPORT ET MINE"
"90535";"GLOBAL TRANSPORT ET MINE"
"90812";"GLOBAL TRANSPORT ET MINE"
"90857";"GLOBAL TRANSPORT ET MINE"
"90858";"GLOBAL TRANSPORT ET MINE"
"90894";"GLOBAL TRANSPORT ET MINE"
"90897";"GLOBAL TRANSPORT ET MINE"
"90948";"GLOBAL TRANSPORT ET MINE"
"25822";"3FPT"
"25831";"3FPT"
"25834";"3FPT"
"25835";"3FPT"
"25836";"3FPT"
"25837";"3FPT"
"25838";"3FPT"
"25839";"3FPT"
"64069";"3FPT"
"69198";"3FPT"
"15157";"GDS"
"31885";"GDS"
"69126";"GDS"
"69123";"GDS"
"9521";"GRANDE COTE OPERATIONS SA"
"12261";"GRANDE COTE OPERATIONS SA"
"12271";"GRANDE COTE OPERATIONS SA"
"12272";"GRANDE COTE OPERATIONS SA"
"12273";"GRANDE COTE OPERATIONS SA"
"12274";"GRANDE COTE OPERATIONS SA"
"12275";"GRANDE COTE OPERATIONS SA"
"12276";"GRANDE COTE OPERATIONS SA"
"12277";"GRANDE COTE OPERATIONS SA"
"12278";"GRANDE COTE OPERATIONS SA"
"12279";"GRANDE COTE OPERATIONS SA"
"12280";"GRANDE COTE OPERATIONS SA"
"12281";"GRANDE COTE OPERATIONS SA"
"12282";"GRANDE COTE OPERATIONS SA"
"12284";"GRANDE COTE OPERATIONS SA"
"12285";"GRANDE COTE OPERATIONS SA"
"12286";"GRANDE COTE OPERATIONS SA"
"12289";"GRANDE COTE OPERATIONS SA"
"12290";"GRANDE COTE OPERATIONS SA"
"12736";"GRANDE COTE OPERATIONS SA"
"15178";"GRANDE COTE OPERATIONS SA"
"15179";"GRANDE COTE OPERATIONS SA"
"15180";"GRANDE COTE OPERATIONS SA"
"15181";"GRANDE COTE OPERATIONS SA"
"15182";"GRANDE COTE OPERATIONS SA"
"15183";"GRANDE COTE OPERATIONS SA"
"15184";"GRANDE COTE OPERATIONS SA"
"15185";"GRANDE COTE OPERATIONS SA"
"19033";"GRANDE COTE OPERATIONS SA"
"19065";"GRANDE COTE OPERATIONS SA"
"19108";"GRANDE COTE OPERATIONS SA"
"19112";"GRANDE COTE OPERATIONS SA"
"19162";"GRANDE COTE OPERATIONS SA"
"19636";"GRANDE COTE OPERATIONS SA"
"36003";"GRANDE COTE OPERATIONS SA"
"36080";"GRANDE COTE OPERATIONS SA"
"36188";"GRANDE COTE OPERATIONS SA"
"36497";"GRANDE COTE OPERATIONS SA"
"36580";"GRANDE COTE OPERATIONS SA"
"36832";"GRANDE COTE OPERATIONS SA"
"38523";"GRANDE COTE OPERATIONS SA"
"64108";"GRANDE COTE OPERATIONS SA"
"64106";"GRANDE COTE OPERATIONS SA"
"64107";"GRANDE COTE OPERATIONS SA"
"64213";"GRANDE COTE OPERATIONS SA"
"64401";"GRANDE COTE OPERATIONS SA"
"64408";"GRANDE COTE OPERATIONS SA"
"64464";"GRANDE COTE OPERATIONS SA"
"64465";"GRANDE COTE OPERATIONS SA"
"64492";"GRANDE COTE OPERATIONS SA"
"69195";"GRANDE COTE OPERATIONS SA"
"69439";"GRANDE COTE OPERATIONS SA"
"64572";"GRANDE COTE OPERATIONS SA"
"64573";"GRANDE COTE OPERATIONS SA"
"69440";"GRANDE COTE OPERATIONS SA"
"69481";"GRANDE COTE OPERATIONS SA"
"69482";"GRANDE COTE OPERATIONS SA"
"69516";"GRANDE COTE OPERATIONS SA"
"69517";"GRANDE COTE OPERATIONS SA"
"69518";"GRANDE COTE OPERATIONS SA"
"69519";"GRANDE COTE OPERATIONS SA"
"69521";"GRANDE COTE OPERATIONS SA"
"69522";"GRANDE COTE OPERATIONS SA"
"69523";"GRANDE COTE OPERATIONS SA"
"69524";"GRANDE COTE OPERATIONS SA"
"69525";"GRANDE COTE OPERATIONS SA"
"69589";"GRANDE COTE OPERATIONS SA"
"69606";"GRANDE COTE OPERATIONS SA"
"69607";"GRANDE COTE OPERATIONS SA"
"69608";"GRANDE COTE OPERATIONS SA"
"69631";"GRANDE COTE OPERATIONS SA"
"69639";"GRANDE COTE OPERATIONS SA"
"69756";"GRANDE COTE OPERATIONS SA"
"69789";"GRANDE COTE OPERATIONS SA"
"69795";"GRANDE COTE OPERATIONS SA"
"69796";"GRANDE COTE OPERATIONS SA"
"88246";"GRANDE COTE OPERATIONS SA"
"88247";"GRANDE COTE OPERATIONS SA"
"88248";"GRANDE COTE OPERATIONS SA"
"81793";"GRANDE COTE OPERATIONS SA"
"88217";"GRANDE COTE OPERATIONS SA"
"88219";"GRANDE COTE OPERATIONS SA"
"90521";"GRANDE COTE OPERATIONS SA"
"6206";"TRANSPORT AMADOU DIEYE "
"13440";"TRANSPORT AMADOU DIEYE "
"15362";"TRANSPORT AMADOU DIEYE "
"24817";"TRANSPORT AMADOU DIEYE "
"24818";"TRANSPORT AMADOU DIEYE "
"24819";"TRANSPORT AMADOU DIEYE "
"24820";"TRANSPORT AMADOU DIEYE "
"24821";"TRANSPORT AMADOU DIEYE "
"24822";"TRANSPORT AMADOU DIEYE "
"24823";"TRANSPORT AMADOU DIEYE "
"24824";"TRANSPORT AMADOU DIEYE "
"24825";"TRANSPORT AMADOU DIEYE "
"24830";"TRANSPORT AMADOU DIEYE "
"24831";"TRANSPORT AMADOU DIEYE "
"24832";"TRANSPORT AMADOU DIEYE "
"24833";"TRANSPORT AMADOU DIEYE "
"24834";"TRANSPORT AMADOU DIEYE "
"24835";"TRANSPORT AMADOU DIEYE "
"24836";"TRANSPORT AMADOU DIEYE "
"24837";"TRANSPORT AMADOU DIEYE "
"24838";"TRANSPORT AMADOU DIEYE "
"24839";"TRANSPORT AMADOU DIEYE "
"24851";"TRANSPORT AMADOU DIEYE "
"24852";"TRANSPORT AMADOU DIEYE "
"24853";"TRANSPORT AMADOU DIEYE "
"24854";"TRANSPORT AMADOU DIEYE "
"24860";"TRANSPORT AMADOU DIEYE "
"24861";"TRANSPORT AMADOU DIEYE "
"24863";"TRANSPORT AMADOU DIEYE "
"24864";"TRANSPORT AMADOU DIEYE "
"24865";"TRANSPORT AMADOU DIEYE "
"24866";"TRANSPORT AMADOU DIEYE "
"24867";"TRANSPORT AMADOU DIEYE "
"24868";"TRANSPORT AMADOU DIEYE "
"24869";"TRANSPORT AMADOU DIEYE "
"24871";"TRANSPORT AMADOU DIEYE "
"24872";"TRANSPORT AMADOU DIEYE "
"24873";"TRANSPORT AMADOU DIEYE "
"24874";"TRANSPORT AMADOU DIEYE "
"24875";"TRANSPORT AMADOU DIEYE "
"24876";"TRANSPORT AMADOU DIEYE "
"24877";"TRANSPORT AMADOU DIEYE "
"24879";"TRANSPORT AMADOU DIEYE "
"24880";"TRANSPORT AMADOU DIEYE "
"24881";"TRANSPORT AMADOU DIEYE "
"24883";"TRANSPORT AMADOU DIEYE "
"24884";"TRANSPORT AMADOU DIEYE "
"24885";"TRANSPORT AMADOU DIEYE "
"24886";"TRANSPORT AMADOU DIEYE "
"24887";"TRANSPORT AMADOU DIEYE "
"24888";"TRANSPORT AMADOU DIEYE "
"24889";"TRANSPORT AMADOU DIEYE "
"24890";"TRANSPORT AMADOU DIEYE "
"24891";"TRANSPORT AMADOU DIEYE "
"24892";"TRANSPORT AMADOU DIEYE "
"24894";"TRANSPORT AMADOU DIEYE "
"24896";"TRANSPORT AMADOU DIEYE "
"24897";"TRANSPORT AMADOU DIEYE "
"24899";"TRANSPORT AMADOU DIEYE "
"24900";"TRANSPORT AMADOU DIEYE "
"24901";"TRANSPORT AMADOU DIEYE "
"24902";"TRANSPORT AMADOU DIEYE "
"24903";"TRANSPORT AMADOU DIEYE "
"24904";"TRANSPORT AMADOU DIEYE "
"24905";"TRANSPORT AMADOU DIEYE "
"24906";"TRANSPORT AMADOU DIEYE "
"24907";"TRANSPORT AMADOU DIEYE "
"24908";"TRANSPORT AMADOU DIEYE "
"24909";"TRANSPORT AMADOU DIEYE "
"24910";"TRANSPORT AMADOU DIEYE "
"24912";"TRANSPORT AMADOU DIEYE "
"24913";"TRANSPORT AMADOU DIEYE "
"24914";"TRANSPORT AMADOU DIEYE "
"24915";"TRANSPORT AMADOU DIEYE "
"24916";"TRANSPORT AMADOU DIEYE "
"24917";"TRANSPORT AMADOU DIEYE "
"24918";"TRANSPORT AMADOU DIEYE "
"24919";"TRANSPORT AMADOU DIEYE "
"24920";"TRANSPORT AMADOU DIEYE "
"24983";"TRANSPORT AMADOU DIEYE "
"24987";"TRANSPORT AMADOU DIEYE "
"24990";"TRANSPORT AMADOU DIEYE "
"27170";"TRANSPORT AMADOU DIEYE "
"31500";"TRANSPORT AMADOU DIEYE "
"32808";"TRANSPORT AMADOU DIEYE "
"64161";"TRANSPORT AMADOU DIEYE "
"69138";"TRANSPORT AMADOU DIEYE "
"69139";"TRANSPORT AMADOU DIEYE "
"69140";"TRANSPORT AMADOU DIEYE "
"69143";"TRANSPORT AMADOU DIEYE "
"69157";"TRANSPORT AMADOU DIEYE "
"69158";"TRANSPORT AMADOU DIEYE "
"69159";"TRANSPORT AMADOU DIEYE "
"69160";"TRANSPORT AMADOU DIEYE "
"69842";"TRANSPORT AMADOU DIEYE "
"64049";"LANSAR AUTO SUARL "
"64050";"LANSAR AUTO SUARL "
"64051";"LANSAR AUTO SUARL "
"64052";"LANSAR AUTO SUARL "
"64053";"LANSAR AUTO SUARL "
"64054";"LANSAR AUTO SUARL "
"64055";"LANSAR AUTO SUARL "
"64057";"LANSAR AUTO SUARL "
"64058";"LANSAR AUTO SUARL "
"0000000000064403";"MIYA SENEGAL "
"0000000000064587";"MIYA SENEGAL "
"0000000000069492";"MIYA SENEGAL "
"0000000000069493";"MIYA SENEGAL "
"0000000000069494";"MIYA SENEGAL "
"0000000000069495";"MIYA SENEGAL "
"0000000000069496";"MIYA SENEGAL "
"0000000000069497";"MIYA SENEGAL "
"0000000000069498";"MIYA SENEGAL "
"0000000000069499";"MIYA SENEGAL "
"0000000000069500";"MIYA SENEGAL "
"30350";"NOUVELLES FRONTIERES DU SENEGAL "
"36414";"NOUVELLES FRONTIERES DU SENEGAL "
"36651";"NOUVELLES FRONTIERES DU SENEGAL "
"36693";"NOUVELLES FRONTIERES DU SENEGAL "
"36705";"NOUVELLES FRONTIERES DU SENEGAL "
